,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,The Best Offer,2013,R,01 Jan 2014,131 min,"Crime, Drama, Mystery, Romance",Giuseppe Tornatore,Giuseppe Tornatore (story and screenplay),"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,English,Italy,25 wins & 26 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4MzQ3NjA0N15BMl5BanBnXkFtZTgwODQyNjQ4MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.8,"93,683",tt1924396,movie,29 Apr 2014,"$85,433",IFC Films,http://lamiglioreoffertailfilm.it/,True
1,Jamesy Boy,2014,Not Rated,03 Jan 2014,109 min,"Biography, Crime, Drama, Romance",Trevor White,"Lane Shadgett (screenplay), Trevor White (screenplay)","Spencer Rocco Lofranco, Mary-Louise Parker, Ving Rhames, James Woods","A young gang member turns his life around in prison, thanks to the friendship he forms with a convicted murderer who becomes his mentor.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjM2NjA2NDIzMl5BMl5BanBnXkFtZTgwMTMwOTg1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,6.3,"5,025",tt1673734,movie,18 Mar 2014,N/A,Xlrator Media,https://www.facebook.com/jamesyboyfilm,True
2,Open Grave,2013,R,03 Jan 2014,102 min,"Horror, Mystery, Thriller",Gonzalo López-Gallego,"Eddie Borey, Chris Borey","Sharlto Copley, Thomas Kretschmann, Josie Ho, Joseph Morgan","A man wakes up in the wilderness, in a pit full of dead bodies, with no memory and must determine if the murderer is one of the strangers who rescued him, or if he himself is the killer.",English,"USA, Hungary",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTc1MDM5MTI0Ml5BMl5BanBnXkFtZTgwOTMyODI1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,6.3,"25,016",tt2071550,movie,15 Jul 2014,N/A,Tribeca Films,http://tribecafilm.com/opengrave,True
3,Paranormal Activity: The Marked Ones,2014,R,03 Jan 2014,84 min,"Horror, Mystery, Thriller",Christopher Landon,"Christopher Landon, Oren Peli (based on the film ""Paranormal Activity"" by)","Andrew Jacobs, Jorge Diaz, Gabrielle Walsh, Renee Victor","When a young man becomes the target of a malevolent entity, he must uncover its true intentions before it takes complete control of him.","English, Spanish",USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMjAwNDAxMjc0N15BMl5BanBnXkFtZTgwNDcyNDU3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.0,"36,661",tt2473682,movie,08 Apr 2014,"$28,605,090",Paramount Pictures,http://www.paranormalmovie.com/,True
4,Yves Saint Laurent,2014,R,08 Jan 2014,106 min,"Biography, Drama",Jalil Lespert,"Marie-Pierre Huster (scenario), Jalil Lespert (scenario), Jacques Fieschi (scenario), Laurence Benaïm (book), Jérémie Guez (collaborating writer), Yann Apperry (scenario collaborator)","Pierre Niney, Guillaume Gallienne, Charlotte Le Bon, Laura Smet","A look at the life of French designer Yves Saint Laurent from the beginning of his career in 1958 when he met his lover and business partner, Pierre Berge.","French, English, Russian, Arabic, Japanese","France, Belgium",2 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMjE3NDE1NDAyOF5BMl5BanBnXkFtZTgwMDg0NDQ0MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.2,"10,063",tt2707858,movie,N/A,N/A,The Weinstein Company,N/A,True
5,The Adventurer: The Curse of the Midas Box,2013,PG,05 Dec 2013,100 min,"Adventure, Family, Fantasy",Jonathan Newman,"Christian Taylor (screenplay), Matthew Huffman (screenplay), G.P. Taylor (based on the novel by)","Aneurin Barnard, Michael Sheen, Lena Headey, Sam Neill","Ancient mysteries. Powerful evil. And a fearless hero's quest through a fantastical realm of steam-powered wonders and sinister magic... In THE ADVENTURER: THE CURSE OF THE MIDAS BOX, ...",English,"UK, Spain, Belgium",N/A,https://m.media-amazon.com/images/M/MV5BNTAwODA2NDUxMF5BMl5BanBnXkFtZTgwNTgyNDc1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.4,"5,040",tt1376213,movie,11 Feb 2014,N/A,RLJ Entertainment,http://www.mariahmundi.com/,True
6,Black Coffee,2014,PG,10 Jan 2014,85 min,"Comedy, Romance",Mark Harris,Mark Harris,"Darrin Dewitt Henson, Christian Keyes, Lamman Rucker, Gabrielle Dennis","Robert (Henson) picked the wrong time to meet his soul mate! After being fired from his own father's company, he feels like his luck has run out - until Morgan (Dennis) enters into his life...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU0OTgxMDQwNl5BMl5BanBnXkFtZTgwMzk2MTU4MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.8,624,tt2994646,movie,07 Apr 2014,N/A,RLJ Entertainment,N/A,True
7,Dumbbells,2014,N/A,10 Jan 2014,92 min,Comedy,Christopher Livingston,"Brian Drolet, Hoyt Richards","Brian Drolet, Hoyt Richards, Taylor Cole, Mircea Monroe",A former basketball star suffering from a knee injury looks to rehab himself at a rundown Los Angeles gym.,English,USA,58 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BMTgwODY1NDU5OF5BMl5BanBnXkFtZTgwNjQ4OTA4MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,3.5,645,tt1978428,movie,N/A,N/A,GoDigital,http://www.dumbbellsthemovie.com/,True
8,The Legend of Hercules,2014,PG-13,10 Jan 2014,99 min,"Action, Adventure, Fantasy",Renny Harlin,"Sean Hood, Daniel Giat, Renny Harlin, Giulio Steve","Kellan Lutz, Gaia Weiss, Scott Adkins, Roxanne McKee","The origin story of the mythical Greek hero. Betrayed by his stepfather, the King, and exiled and sold into slavery because of a forbidden love, Hercules must use his formidable powers to fight his way back to his rightful kingdom.",English,USA,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTQwMjEyODQxMV5BMl5BanBnXkFtZTgwMDQxMjE3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,4.2,"49,914",tt1043726,movie,29 Apr 2014,"$14,739,982",Lionsgate Films,http://hercules3dmovie.com/,True
9,Raze,2013,R,16 Jan 2014,92 min,"Action, Drama, Horror",Josh C. Waller,"Robert Beaucage (story and screenplay), Kenny Gage (story), Josh C. Waller (story)","Zoë Bell, Rachel Nichols, Tracie Thoms, Bruce Thomas","Raze, a horror/action film, focuses on two abducted women & 50 other women who are forced to fight each other using their bare hands.",English,USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTkyMjk2OTk2MF5BMl5BanBnXkFtZTgwNjcwMzg3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.2,"5,336",tt2111392,movie,20 May 2014,"$3,453",IFC Films,http://www.ifcfilms.com/films/raze,True
10,Redirected,2014,Not Rated,10 Jan 2014,99 min,"Action, Comedy, Crime, Thriller",Emilis Velyvis,"Jonas Banys, Lewis Britnell (dialogue editor), Emilis Velyvis","Vinnie Jones, Scot Williams, Gil Darnell, Oliver Jackson",Three friends try to make money and invite another friend in on a plot.,"English, Russian, Lithuanian, Polish","UK, Lithuania",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjI5OTM2NzA1M15BMl5BanBnXkFtZTgwMDk1NTMxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"32,531",tt2275946,movie,N/A,N/A,Kinokultas,N/A,True
11,The Nut Job,2014,PG,17 Jan 2014,85 min,"Animation, Adventure, Comedy, Crime, Family",Peter Lepeniotis,"Peter Lepeniotis, Lorne Cameron, Peter Lepeniotis (story by), Daniel Woo (story by), Robert Reece (additional screenplay material)","Will Arnett, Brendan Fraser, Liam Neeson, Katherine Heigl","An incorrigibly self-serving exiled squirrel finds himself helping his former park brethren survive by raiding a nut store, a location that also happens to be a front for a human gang's bank robbery.","English, Dutch","Canada, South Korea, USA",1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ1NjAxMDUzN15BMl5BanBnXkFtZTgwOTE5NDM3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.7,"24,223",tt1821658,movie,15 Apr 2014,N/A,Open Road Films,http://www.thenutjobfilm.com/,True
12,Divin enfant,2014,N/A,15 Jan 2014,84 min,Comedy,Olivier Doran,"Olivier Doran, Patrick Lefèbvre","Émilie Dequenne, Sami Bouajila, Géraldine Pailhas, Guillaume de Tonquédec","En épousant Sarah, une viticultrice de St Emilion qui a déjà eu deux maris, trois filles et dont le premier amour est aujourdhui le mari de sa propre ex-femme et le beau-père de sa fille...",French,"France, Luxembourg, Belgium",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BOWY1YWZiZmItMDQ1Ni00OTlkLTlkMDYtMDYzOWE4MDNlN2Y2XkEyXkFqcGdeQXVyMTYyNTQzNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,82,tt2493728,movie,N/A,N/A,N/A,N/A,True
13,Jack Ryan: Shadow Recruit,2014,PG-13,17 Jan 2014,105 min,"Action, Drama, Thriller",Kenneth Branagh,"Adam Cozad, David Koepp, Tom Clancy (based on characters created by)","Chris Pine, Keira Knightley, Kevin Costner, Kenneth Branagh","Jack Ryan, as a young covert C.I.A. analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.","English, Russian","USA, Russia",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTY2MDkxNzYwNl5BMl5BanBnXkFtZTgwOTM2MjE5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,"113,385",tt1205537,movie,10 Jun 2014,"$43,003,831",Paramount Pictures,http://www.ShadowRecruitMovie.com,True
14,Lilting,2014,Not Rated,08 Aug 2014,91 min,"Drama, Romance",Hong Khaou,Hong Khaou,"Ben Whishaw, Pei-Pei Cheng, Andrew Leung, Morven Christie","A young man of Chinese-Cambodian descent dies, leaving behind his isolated mother and his 4-year male lover, who grieve but don't speak a lick of each other's language.","English, Mandarin",UK,Nominated for 1 BAFTA Film Award. Another 4 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BOTI5MTMyODc0M15BMl5BanBnXkFtZTgwMzIxMjkzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.2,"5,283",tt2560102,movie,10 Feb 2015,N/A,Strand Releasing,http://liltingfilm.com/,True
15,Whiplash,2014,R,15 Oct 2014,106 min,"Drama, Music",Damien Chazelle,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,English,USA,Won 3 Oscars. Another 89 wins & 136 nominations.,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,8.5,"595,125",tt2582802,movie,24 Feb 2015,N/A,Sony Pictures Classics,http://sonyclassics.com/whiplash/,True
16,Back in the Day,2014,R,17 Jan 2014,94 min,Comedy,Michael Rosenbaum,Michael Rosenbaum,"Morena Baccarin, Michael Rosenbaum, Danielle Bisutti, Emma Caulfield Ford","Sometimes in order to move forward, you have to go back. And in this raunchy comedy, Jim Owens does just that when he heads home for his high school reunion. In an attempt to relive the ...",English,"UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjI4MjA4Mzg2MV5BMl5BanBnXkFtZTgwMTgxMzM3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '7/100'}]",7,5.1,"1,525",tt2246887,movie,08 Apr 2014,N/A,Screen Media Films,http://www.facebook.com/backinthedaymovie,True
17,Big Bad Wolves,2013,Not Rated,15 Aug 2013,110 min,"Drama, Horror, Thriller","Aharon Keshales, Navot Papushado","Aharon Keshales, Navot Papushado","Tzahi Grad, Lior Ashkenazi, Rotem Keinan, Doval'e Glickman","A series of brutal murders puts the lives of three men on a collision course: The father of the latest victim now out for revenge, a vigilante police detective operating outside the ...","Hebrew, Arabic",Israel,16 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BMTg3ODc1ODIzOV5BMl5BanBnXkFtZTgwMzg2NTc3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.8,"14,082",tt2309224,movie,22 Apr 2014,"$19,184",Magnolia Pictures,http://magnetreleasing.com/bigbadwolves/,True
18,Camp X-Ray,2014,R,17 Oct 2014,117 min,"Drama, War",Peter Sattler,Peter Sattler,"Nawal Bengholam, Payman Maadi, Lane Garrison, Joseph Julian Soria",A soldier assigned to Guantanamo Bay befriends a man who has been imprisoned there.,English,USA,6 nominations.,https://m.media-amazon.com/images/M/MV5BMTU5NjI1MjEwMV5BMl5BanBnXkFtZTgwNjc2Mzc3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.9,"36,330",tt2994190,movie,02 Jun 2015,"$9,837",IFC Films,http://www.ifcfilms.com/films/camp-x-ray,True
19,Devil's Due,2014,R,17 Jan 2014,89 min,"Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett",Lindsay Devlin,"Allison Miller, Zach Gilford, Sam Anderson, Roger Payano","After a mysterious, lost night on their honeymoon, a newlywed couple finds themselves dealing with an earlier-than-planned pregnancy.","English, Spanish, Latin",USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BYTk5MjFmNzEtOWNlMi00ZWM4LTg0YTItMTA0ZWIzZWNmMDFiXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,4.1,"15,399",tt2752758,movie,29 Apr 2014,N/A,20th Century Fox,http://www.DevilsDueMovie.com,True
20,Fishing Without Nets,2014,R,17 Jan 2014,109 min,Thriller,Cutter Hodierne,"Cutter Hodierne, John Hibey, Cutter Hodierne (story), John Hibey (story), David Burkman (story), Sam Cohan (screenplay)","Abdiwali Farrah, Eric Godon, Abdikhadir Hassan, Idil Ibrahim",A drama the follows a Somali who opts in on a piracy mission but then tries to extricate himself from the events.,"Somali, English, French","USA, Kenya, Somalia",3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwODQ0MzIwNF5BMl5BanBnXkFtZTgwMjE4MzM3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.4,178,tt3469718,movie,N/A,N/A,Pirate Films LLC.,http://films.vice.com/fishing-without-nets/,True
