,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,Arsenal,2017,R,06 Jan 2017,97 min,"Action, Crime, Drama, Thriller",Steven C. Miller,Jason Mosberg,"Nicolas Cage, John Cusack, Adrian Grenier, Johnathon Schaech",A Southern mobster attempts to rescue his kidnapped brother.,English,"USA, Canada",N/A,https://m.media-amazon.com/images/M/MV5BMTEyMzk3ODYzMzdeQTJeQWpwZ15BbWU4MDk0MDc3ODAy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,4.0,"3,246",tt5580536,movie,28 Mar 2017,N/A,Emmett/Furla/Oasis Films,N/A,True
1,Between Us,2012,R,05 Oct 2012,90 min,Drama,Dan Mirvish,"Joe Hortua (screenplay), Dan Mirvish (screenplay), Joe Hortua (play)","Julia Stiles, Melissa George, Taye Diggs, David Harbour","Two couples reunite over two incendiary evenings where anything can happen in this darkly comedic story of best friends, marriage, love, disappointment and dreams.",English,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc5NzcyMzgyN15BMl5BanBnXkFtZTcwNDk1MzE2OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,4.6,930,tt1109574,movie,30 Jul 2013,N/A,Monterey Media,http://betweenusmovie.com/,True
2,Railroad Tigers,2016,Not Rated,23 Dec 2016,124 min,"Action, Comedy, War",Sheng Ding,"Sheng Ding, Alex Jia (script advisor), He Keke","Jackie Chan, Zitao Huang, Jaycee Chan, Kai Wang",A railroad worker in China in 1941 leads a team of freedom fighters against the Japanese in order to get food for the poor.,"Mandarin, Japanese, English",China,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjdjYWJlNDUtMjU2YS00NDBjLTkzMjEtYWM1ZmE1MjNlOWIyXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,5.9,"3,073",tt4687848,movie,N/A,N/A,N/A,N/A,True
3,Underworld: Blood Wars,2016,R,06 Jan 2017,91 min,"Action, Adventure, Fantasy, Horror",Anna Foerster,"Cory Goodman (screenplay by), Kyle Ward (story by), Cory Goodman (story by), Kevin Grevioux (based on characters created by), Len Wiseman (based on characters created by), Danny McBride (based on characters created by)","Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver","Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.","English, Saami",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI5Njk0NTIyNV5BMl5BanBnXkFtZTgwNjU4MjY5MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,5.8,"61,251",tt3717252,movie,25 Apr 2017,"$30,348,260",Lakeshore Entertainment,http://www.underworldbloodwars-movie.com/site/,True
4,100 Streets,2016,N/A,13 Jan 2017,93 min,Drama,Jim O'Hanlon,Leon Butler,"Idris Elba, Gemma Arterton, Kierston Wareing, Tom Cullen","Three people, three extraordinary stories. All lived out within a hundred London streets.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMTc5NjQ3NzkzM15BMl5BanBnXkFtZTgwMDU2MTQ2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.7,"3,191",tt2990126,movie,07 Mar 2017,N/A,Green Door Pictures,N/A,True
5,Alone in Berlin,2016,R,13 Jan 2017,103 min,Drama,Vincent Perez,"Achim von Borries (screenplay), Vincent Perez (screenplay), Bettine von Borries (collaboration on screenplay), Hans Fallada (novel)","Mikael Persbrandt, Emma Thompson, Daniel Brühl, Brendan Gleeson","After a Nazi German working class couple loses their son in World War II, they decide to retaliate by secretly leafletting handwritten cards in Berlin denouncing their government.",English,"UK, France, Germany",2 nominations.,https://m.media-amazon.com/images/M/MV5BMjEyZmQxOGYtYTk3MS00Njg3LWEwOWItYjFhYzVkNDhkMzYxXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.4,"5,970",tt3026488,movie,13 Jun 2017,"$19,428",X-Filme Creative Pool,N/A,True
6,The Book of Love,2016,PG-13,14 Apr 2016,106 min,Drama,Bill Purple,"Robbie Pickering, Bill Purple, Robbie Pickering (story by)","Jason Sudeikis, Maisie Williams, Jessica Biel, Mary Steenburgen","Henry is an introverted architect. After the death of his wife in a car accident, he sets out to help Millie, a homeless teen-ager, to build a raft to sail across the Atlantic.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzA2NzEwOTczMV5BMl5BanBnXkFtZTgwNDI3MzE2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,6.0,"3,068",tt1330018,movie,04 Apr 2017,N/A,Electric Entertainment,N/A,True
7,The Bye Bye Man,2017,PG-13,13 Jan 2017,96 min,"Drama, Fantasy, Horror, Mystery, Thriller",Stacy Title,"Jonathan Penner (screenplay by), Robert Damon Schneck (based on ""The Bridge to Body Island"" by)","Douglas Smith, Lucien Laviscount, Cressida Bonas, Doug Jones",Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.,English,"USA, China",N/A,https://m.media-amazon.com/images/M/MV5BMTcxOTE5NzQwNF5BMl5BanBnXkFtZTgwOTMzMTc1ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,4.3,"16,533",tt4030600,movie,25 Apr 2017,"$22,377,458",STX Entertainment,N/A,True
8,Monster Trucks,2016,PG,13 Jan 2017,104 min,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Chris Wedge,"Derek Connolly (screenplay by), Matthew Robinson (story by), Jonathan Aibel (story by), Glenn Berger (story by)","Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,English,"USA, Canada",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTEyMjAzMDk4ODZeQTJeQWpwZ15BbWU4MDUxNzMzMDEy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.7,"13,139",tt3095734,movie,11 Apr 2017,"$33,243,820",Paramount Pictures,http://MonsterTrucksMovie.com,True
9,Sleepless,2017,R,13 Jan 2017,95 min,"Action, Crime, Thriller",Baran bo Odar,"Andrea Berloff (screenplay by), Frédéric Jardin (based on the film ""Nuit blanche"" written by), Nicolas Saada (based on the film ""Nuit blanche"" written by), Olivier Douyère (based on the film ""Nuit blanche"" written by)","Jamie Foxx, Michelle Monaghan, Scoot McNairy, Dermot Mulroney",A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNjEwMDAyOTM4OV5BMl5BanBnXkFtZTgwMzc4MjMyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.6,"24,571",tt2072233,movie,18 Apr 2017,"$20,757,977",Open Road Films,http://sleeplessmovie.com/,True
10,The Big Sick,2017,R,14 Jul 2017,120 min,"Comedy, Drama, Romance",Michael Showalter,"Emily V. Gordon, Kumail Nanjiani","Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.","English, Urdu",USA,Nominated for 1 Oscar. Another 16 wins & 84 nominations.,https://m.media-amazon.com/images/M/MV5BZWM4YzZjOTEtZmU5ZS00ZTRkLWFiNjAtZTEwNzIzMDM5MjdmXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.6,"100,807",tt5462602,movie,19 Sep 2017,"$42,824,653",Amazon Studios,http://www.thebigsickmovie.com/,True
