,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,Time Rush,2016,NOT RATED,01 Jan 2016,85 min,Action,Daniel Zirilli,Dean Alexandrou,"Hari Das Ahatefu, Dean Alexandrou, Michael Aston, Srisuwan Asuchewakamjohn","Alex, stuck in a repeating loop of time, must navigate his way through the bustling streets of Bangkok with mysterious men on his heels trying to kill him. Parkour, martial arts, shoot outs...",English,USA,N/A,https://ia.media-imdb.com/images/M/MV5BNjM5NDczNDQwOF5BMl5BanBnXkFtZTgwMTc4Mjg0ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,324,tt3399078,movie,05 Apr 2016,N/A,Stunt Power Films,N/A,True
1,Mercury Plains,2016,R,23 Feb 2017,102 min,"Action, Adventure, Drama",Charles Burmeister,Charles Burmeister,"Scott Eastwood, Nick Chinlund, Andy Garcia, Jorge A. Jimenez","A troubled man runs away to Mexico and is recruited to join a paramilitary group of teens fighting the drug cartels. He proves himself to the group, but questions their motive.","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTgwMzMxOTE5NF5BMl5BanBnXkFtZTgwMzQ1MjQzNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,"1,110",tt1753786,movie,05 Jan 2016,N/A,Number 5 Films,N/A,True
2,Robo-Dog,2015,NOT RATED,14 Oct 2015,87 min,"Family, Sci-Fi",Jason Murphy,Anthony Steven Giordano,"Mac, Michael Campion, Patrick Muldoon, Olivia d'Abo","ROBO-DOG is a real-world fantasy film for the whole family. When Tyler's furry best friend dies tragically, his inventor Dad creates a new dog to take his place - complete with mechanical ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIyMjI4NDI3MV5BMl5BanBnXkFtZTgwOTAxNjIwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,162,tt3591946,movie,N/A,N/A,Prism Pictures,N/A,True
3,Diablo,2015,R,08 Jan 2016,90 min,"Action, Adventure, Thriller, Western",Lawrence Roeck,"Carlos De Los Rios (screenplay), Lawrence Roeck (story)","Scott Eastwood, Walton Goggins, Camilla Belle, Adam Beach",A young civil war veteran is forced on a desperate journey to save his kidnapped wife.,"English, Spanish, Cree","Canada, USA",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BOTIyNjcwOTkwMV5BMl5BanBnXkFtZTgwMzc2MDA1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,4.5,"4,368",tt4076760,movie,N/A,N/A,N/A,N/A,True
4,The Forest,2016,PG-13,08 Jan 2016,93 min,"Horror, Mystery, Thriller",Jason Zada,"Nick Antosca, Sarah Cornwell, Ben Ketai","Natalie Dormer, Eoin Macken, Stephanie Vogt, Osamu Tanpopo","A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror.","English, Japanese",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjAwMzQzNTc5OV5BMl5BanBnXkFtZTgwNDgyMTU2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,4.8,"35,769",tt3387542,movie,12 Apr 2016,"$21,818,536",Gramercy Pictures,N/A,True
5,The Masked Saint,2016,PG-13,22 Jan 2016,105 min,"Action, Biography, Crime, Drama, Family, Fantasy",Warren P. Sonoda,"Scott Crowell, Scott Crowell, Brett Granstaff","Brett Granstaff, Lara Jean Chorostecki, T.J. McGibbon, Diahann Carroll",A pastor and professional wrestler accepts a position at a struggling church where he helps the community both in his official capacity and as his alter ego The Saint.,English,Canada,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjI0NzU4MjkxNl5BMl5BanBnXkFtZTgwMTYxMTA1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,4.6,553,tt3103166,movie,05 Apr 2016,"$181,609",Freestyle Releasing,http://themaskedsaint.com/about-the-masked-saint/,True
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
7,Norm of the North,2016,PG,15 Jan 2016,90 min,"Animation, Adventure, Comedy, Family",Trevor Wall,"Daniel Altiere, Steven Altiere, Malcolm T. Goldman","Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy","When a real estate development invades his Arctic home, Norm and his three lemming friends head to New York City, where Norm becomes the mascot of the corporation in an attempt to bring it down from the inside and protect his homeland.",English,"USA, India, Ireland",N/A,https://m.media-amazon.com/images/M/MV5BNTY4MDk4Mjc4NV5BMl5BanBnXkFtZTgwNzg4OTk0NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,3.6,"7,812",tt1594972,movie,19 Apr 2016,"$12,320,716",Lionsgate,https://www.facebook.com/NormOfTheNorthMovie,True
8,Ride Along 2,2016,PG-13,15 Jan 2016,102 min,"Action, Comedy",Tim Story,"Phil Hay, Matt Manfredi, Greg Coolidge (characters)","Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt","As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",English,USA,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTU4ODAzMzcxOV5BMl5BanBnXkFtZTgwODkxMDI1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.9,"47,289",tt2869728,movie,26 Apr 2016,N/A,Universal Pictures,http://www.ridealong.com/,True
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
