,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,Insidious: The Last Key,2018,PG-13,05 Jan 2018,103 min,"Horror, Mystery, Thriller",Adam Robitel,"Leigh Whannell, Leigh Whannell (based on characters created by)","Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo","Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTUxODU0NjQ2Nl5BMl5BanBnXkFtZTgwMTc4NDQ0MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.7,"39,308",tt5726086,movie,03 Apr 2018,"$29,581,355",Universal Pictures,http://www.insidiousmovie.com/,True
1,The Strange Ones,2017,R,05 Jan 2018,81 min,"Drama, Thriller","Christopher Radcliff, Lauren Wolkstein","Christopher Radcliff (story), Christopher Radcliff, Lauren Wolkstein (story)","Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones","Mysterious events surround two travelers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets.",English,USA,4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTkzMWY2ZmYtMmE5ZC00ZmM1LWE1YjctYmYxNGYwY2E2MGRlXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.0,"1,806",tt6014904,movie,24 Apr 2018,N/A,Vertical Entertainment and DIRECTV,http://www.thestrangeones.com,True
2,Stratton,2017,R,05 Jan 2018,95 min,"Action, Thriller",Simon West,"Duncan Falconer (based on the novel by), Warren Davis II (screenplay by), Duncan Falconer (screenplay by)","Dominic Cooper, Austin Stowell, Gemma Chan, Connie Nielsen",A British Special Boat Service commando tracks down an international terrorist cell.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BYzk4MzRkMmUtZjIzYi00YzBhLWIyMjctMWM4ZWMwMWE0OTk4XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,4.8,"3,265",tt3567666,movie,06 Feb 2018,N/A,SquareOne Entertainment,N/A,True
3,Sweet Country,2017,R,06 Apr 2018,113 min,"Adventure, Crime, Drama, History, Thriller",Warwick Thornton,"Steven McGregor, David Tranter","Bryan Brown, Luka Magdeline Cole, Shanika Cole, Matt Day","Australian western set on the Northern Territory frontier in the 1920s, where justice itself is put on trial when an aged Aboriginal farmhand shoots a white man in self-defense and goes on the run as a posse gathers to hunt him down.","English, Aboriginal",Australia,5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BNDhkMzY5NzYtYWQ4MC00ZjA0LWJkN2EtYjExN2I0NjdjODVjXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,6.9,"4,804",tt6958212,movie,N/A,N/A,Samuel Goldwyn Films,N/A,True
4,The Commuter,2018,PG-13,12 Jan 2018,105 min,"Action, Crime, Drama, Mystery, Thriller",Jaume Collet-Serra,"Byron Willinger (story by), Philip de Blasi (story by), Byron Willinger (screenplay by), Philip de Blasi (screenplay by), Ryan Engle (screenplay by)","Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks",An Insurance Salesman/Ex-Cop is caught up in a criminal conspiracy during his daily commute home.,"English, Spanish","France, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTc0NDg1MjI4OV5BMl5BanBnXkFtZTgwMDIwMTEwNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.3,"77,465",tt1590193,movie,17 Apr 2018,"$36,241,300",Lionsgate,https://www.thecommuter.movie/,True
5,Proud Mary,2018,R,12 Jan 2018,89 min,"Action, Crime, Drama, Thriller",Babak Najafi,"John Stuart Newman (story by), Christian Swegal (story by), John Stuart Newman (screenplay by), Christian Swegal (screenplay by), Steve Antin (screenplay by)","Taraji P. Henson, Billy Brown, Jahi Di'Allo Winston, Neal McDonough","Mary (Taraji P. Henson) is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.","English, Russian",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA1MjI3MDU1MF5BMl5BanBnXkFtZTgwMjYwMTkxNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,4.9,"6,177",tt6421110,movie,10 Apr 2018,N/A,Screen Gems,N/A,True
6,Acts of Violence,2018,R,12 Jan 2018,86 min,"Action, Crime",Brett Donowho,Nicolas Aaron Mezzanatto (screen play by),"Bruce Willis, Cole Hauser, Shawn Ashmore, Ashton Holmes","When his fiancee is kidnapped by human traffickers, Roman (Ashton Holmes) and his ex-military brothers set out to track her down and save her before it is too late. Along the way, Roman ...",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMjM3NzI1NDMyNl5BMl5BanBnXkFtZTgwNzUyMDgzNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.2,"7,050",tt6684714,movie,27 Mar 2018,N/A,Lionsgate Premiere,N/A,True
7,Freak Show,2017,Unrated,12 Jan 2018,91 min,"Comedy, Drama",Trudie Styler,"Patrick J. Clifton (screenplay by), Beth Rigazio (screenplay by), James St. James (based on the book by)","Alex Lawther, Ian Nelson, AnnaSophia Robb, Celia Weston","Follows the story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen.",English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxMjI5NzQxNTVeQTJeQWpwZ15BbWU4MDY0MTIzNTQz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.3,"1,758",tt5089534,movie,05 Jun 2018,N/A,IFC Films,http://www.ifcfilms.com/films/freak-show,True
8,Humor Me,2017,N/A,12 Jan 2018,93 min,Comedy,Sam Hoffman,Sam Hoffman,"Jemaine Clement, Elliott Gould, Ingrid Michaelson, Maria Dizzia","A once-acclaimed New York playwright, NATE (Jemaine Clement), is struggling to finish his new play when his wife (Maria Dizzia) leaves him, taking their son. Desolate, broke and unable to ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYmY2OTQ1MzEtNDRjNS00MTBmLTgxZmUtNWJlOGY1Mzg1MjdiXkEyXkFqcGdeQXVyMjkxMTYyMTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.9,551,tt5658242,movie,N/A,N/A,N/A,N/A,True
9,Vazante,2017,N/A,12 Jan 2018,116 min,"Adventure, Drama",Daniela Thomas,"Daniela Thomas, Beto Amaral","Adriano Carvalho, Luana Nastas, Sandra Corveloni, Juliana Carneiro da Cunha","Brazil 1821. A rich cattle herder finds out that his wife dies in labor. Forced to live in the property with numerous African slaves, he marries his wife's niece. But he returns to droving, leaving his wife behind alone with the slaves.",Portuguese,"Brazil, Portugal",12 nominations.,https://m.media-amazon.com/images/M/MV5BOGU5MzQ2MTItZTA2Yi00Y2JjLWI0MmMtNTZlOTExZWVhNGEzXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.2,364,tt4673790,movie,24 Apr 2018,N/A,Music Box Films,N/A,True
